"target","t2.stat","p.value","p.value.bh","n.cells","significance"
"321650",20.3867151090395,0.435069564823535,0.737954720435355,45,"Non-significant"
"RON4",26.4970878722877,0.150825968871167,0.502884887697184,96,"Non-significant"
"GRA5",20.2842121139316,0.441365185576794,0.737954720435355,67,"Non-significant"
"ROP10",22.7857776447566,0.30048977527115,0.664364716191978,73,"Non-significant"
"280670",24.3711554908778,0.227525351099872,0.595788032776986,41,"Non-significant"
"300220",25.4079037529565,0.187165874470996,0.540228774041283,43,"Non-significant"
"276210",9.08701540713438,0.981945990166379,0.988931248124998,17,"Non-significant"
"GRA15",17.3020663464784,0.634189069741973,0.873915614268209,168,"Non-significant"
"RON5",22.7653224940966,0.301519334936553,0.664364716191978,10,"Non-significant"
"275860",29.1156105653361,0.086101780211741,0.364082605574147,74,"Non-significant"
"271270",27.5818293927947,0.120394604566512,0.440803045189943,19,"Non-significant"
"ROP51",13.4050880131197,0.859779502862955,0.955918082554657,17,"Non-significant"
"ROP28",12.0361298702068,0.915114572128816,0.972548541090876,128,"Non-significant"
"PPM3G",16.8654613754614,0.662556223187452,0.877488649583002,102,"Non-significant"
"PI_2",22.3358211987412,0.323639791542228,0.67753307070926,21,"Non-significant"
"SUB2",36.1488951107837,0.0149486565825827,0.1265652923992,13,"Non-significant"
"ROP33",13.193238514141,0.869358571142228,0.955918082554657,81,"Non-significant"
"GRA17",18.8303253567175,0.533904982777653,0.83303883858166,48,"Non-significant"
"GRA22",27.3013085986273,0.127742047947168,0.45699267857156,32,"Non-significant"
"ROP38",34.4914332695594,0.0232307203256454,0.159475755749025,96,"Non-significant"
"225150",23.4216356797151,0.269594057395535,0.64600840168364,99,"Non-significant"
"GRA39",21.4602107242822,0.371592240465063,0.709657361489669,42,"Non-significant"
"CST1",17.3965290296057,0.628012438717061,0.87166753789144,108,"Non-significant"
"PPM3D",33.1353605216714,0.0329186176547184,0.203934850836548,75,"Non-significant"
"254070",22.3868048922648,0.320964305786093,0.67753307070926,22,"Non-significant"
"GRA29",17.0508178081551,0.650554830909601,0.877488649583002,139,"Non-significant"
"RON3",10.8448007064263,0.950325620503711,0.985816235718342,15,"Non-significant"
"314260",23.0451500211029,0.2876265377108,0.664364716191978,84,"Non-significant"
"ROP14",14.7234317566049,0.792618847329903,0.933823079550738,27,"Non-significant"
"234540",33.661953737368,0.0287900726491874,0.192438906655095,25,"Non-significant"
"210820",21.2107528294513,0.385912692153129,0.720748704462462,12,"Non-significant"
"321700",18.280079850447,0.569954286856035,0.847092566426667,24,"Non-significant"
"209170",16.7033743381667,0.672989643385459,0.877488649583002,120,"Non-significant"
"CST9",15.6581660655503,0.738319180107066,0.907530156394171,43,"Non-significant"
"215360",11.8449809401816,0.921576422498414,0.975335047144155,18,"Non-significant"
"236870",24.6166822268967,0.217444922808513,0.584378638495349,84,"Non-significant"
"285290",29.8350620727592,0.0731076791557463,0.357102894337684,90,"Non-significant"
"299780",17.6784623423195,0.609522559647315,0.867673190316571,25,"Non-significant"
"229500",17.1609330064591,0.643394566410059,0.873915614268209,59,"Non-significant"
"BRP1",12.9641473482023,0.879308350658067,0.962691039082538,71,"Non-significant"
"269920",22.1016142719996,0.336099082320342,0.67753307070926,81,"Non-significant"
"248990",27.5394839023397,0.121481154186205,0.440803045189943,38,"Non-significant"
"297410",19.7407017659634,0.475320346703941,0.773842499588165,65,"Non-significant"
"CPC2",28.016688059014,0.109689367872335,0.415837305068255,70,"Non-significant"
"277720",21.5255147335401,0.367889739347097,0.709657361489669,31,"Non-significant"
"GRA47_CST2",22.1644408697869,0.332729837324675,0.67753307070926,177,"Non-significant"
"318525",26.4071097300159,0.153601633874314,0.502884887697184,90,"Non-significant"
"MAF1B",64.3418240932161,1.54922482931141e-06,2.18612837025055e-05,203,"Control effector"
"225860",16.2898289301439,0.699290549451493,0.89640949910737,39,"Non-significant"
"200360",12.2192644538203,0.908629433020389,0.969713764652011,76,"Non-significant"
"235130",33.14727478361,0.0328195950460508,0.203934850836548,37,"Non-significant"
"279420",17.1672958156508,0.642980200069708,0.873915614268209,60,"Non-significant"
"GRA32",14.3622765974304,0.812227720963729,0.933823079550738,46,"Non-significant"
"288000",10.101860830697,0.966410404306564,0.985816235718342,55,"Non-significant"
"GRA37",14.2875778114768,0.816176077402613,0.933823079550738,26,"Non-significant"
"279350",8.81235846416746,0.985037818014269,0.988931248124998,58,"Non-significant"
"GRA40",16.9645831466861,0.656146900048446,0.877488649583002,129,"Non-significant"
"310740",38.986351380876,0.00678882559570382,0.0615843464753132,47,"Non-significant"
"254080",16.2098144405351,0.704317996052463,0.89640949910737,18,"Non-significant"
"SRS42",29.1577982582409,0.0852890356649468,0.364082605574147,22,"Non-significant"
"266435",17.6327752194251,0.612523301851295,0.867673190316571,28,"Non-significant"
"306890",12.6763914396606,0.891190835819878,0.963354774229158,32,"Non-significant"
"BPK1",32.8562679835818,0.0353165111079541,0.211561309978412,71,"Non-significant"
"GRA28",240.759914006174,0,0,123,"Control effector"
"259830",22.2635902625972,0.327452874228417,0.67753307070926,59,"Non-significant"
"258870",24.9063215642208,0.205972282916975,0.576224239817498,73,"Non-significant"
"280480",20.2331322939967,0.444516032388226,0.737954720435355,8,"Non-significant"
"ROP35_WNG1",29.553540256537,0.077977147646647,0.364082605574147,30,"Non-significant"
"246178",21.9563231504793,0.343965565023763,0.687931130047526,29,"Non-significant"
"SFP1",20.6281225353375,0.420392426976203,0.737954720435355,79,"Non-significant"
"MYR4",127.308900024251,0,0,33,"Control effector"
"NUP67",30.8706339772941,0.0573811959590134,0.297445383134477,10,"Non-significant"
"ROP18",15.8358905773703,0.727500560837037,0.901390938793207,113,"Non-significant"
"297900",12.5589605791917,0.895840201104409,0.963354774229158,38,"Non-significant"
"RON8",8.02542656696961,0.991730676924731,0.991730676924731,23,"Non-significant"
"320630",24.8118434851207,0.209664923852958,0.576224239817498,92,"Non-significant"
"321710",22.239180941928,0.328747409079756,0.67753307070926,55,"Non-significant"
"304720",11.6737130785315,0.9271000136436,0.977109557948027,16,"Non-significant"
"254880",10.4710297841574,0.958953769123468,0.985816235718342,16,"Non-significant"
"GRA48",12.5896252071688,0.894637368186607,0.963354774229158,49,"Non-significant"
"ROP26",24.5889581458849,0.218566813610465,0.584378638495349,46,"Non-significant"
"228760",16.1011519601588,0.711109555546434,0.89640949910737,17,"Non-significant"
"RASP2",9.51434752151909,0.976237185484453,0.98790535901614,35,"Non-significant"
"225320",26.3126171334225,0.156559522965326,0.503368592825226,67,"Non-significant"
"203930",22.3228709485225,0.32432149168172,0.67753307070926,19,"Non-significant"
"291630",33.3480572863619,0.0311907251766771,0.20313959474041,18,"Non-significant"
"315210",13.312023985083,0.864031735647177,0.955918082554657,19,"Non-significant"
"273980",21.2599038378997,0.383069249163501,0.720737698426144,46,"Non-significant"
"246710",20.2451355645643,0.443774814211342,0.737954720435355,22,"Non-significant"
"NTPaseI",22.9122001847853,0.294175513731391,0.664364716191978,42,"Non-significant"
"316280",20.6628724283149,0.418297670698463,0.737954720435355,32,"Non-significant"
"GRA44",22.9157102654952,0.294001404987729,0.664364716191978,8,"Non-significant"
"GRA52_CST5",32.404368730449,0.0395328552414422,0.228212391621053,3,"Non-significant"
"272460",18.8198537211136,0.53458791609768,0.83303883858166,13,"Non-significant"
"202420",16.1760688594542,0.706431661859016,0.89640949910737,7,"Non-significant"
"270200",13.4204854400242,0.859069349485046,0.955918082554657,18,"Non-significant"
"RON11",11.2137566438694,0.940698022629524,0.983281060690942,5,"Non-significant"
"RON2",12.7309126117346,0.888992664473238,0.963354774229158,3,"Non-significant"
"GRA1",25.084634852188,0.19913329809702,0.568313008052168,20,"Non-significant"
"209985",18.6548667247527,0.545366927431427,0.83447710582881,38,"Non-significant"
"226690",21.7578702459107,0.354876643242186,0.703469450626663,25,"Non-significant"
"297280",30.8928084966706,0.0570795354762719,0.297445383134477,15,"Non-significant"
"213069",20.5115524268174,0.427452812371974,0.737954720435355,11,"Non-significant"
"ROP47",20.513011109876,0.427364149456748,0.737954720435355,9,"Non-significant"
"ASP3",10.3723018365877,0.961049447966096,0.985816235718342,6,"Non-significant"
"264600",29.250744356419,0.0835213623431248,0.364082605574147,33,"Non-significant"
"RON10",15.6369490084692,0.739601347927533,0.907530156394171,20,"Non-significant"
"297510",29.1503919955332,0.0854312446595811,0.364082605574147,20,"Non-significant"
"268790",24.0109631784012,0.242906283465978,0.616981960003585,20,"Non-significant"
"GRA53_CST6",35.414237165441,0.0182099564047742,0.14920415892944,30,"Non-significant"
"ROP22",29.3459180086389,0.0817436708573407,0.364082605574147,34,"Non-significant"
"243690",17.5249755661937,0.619597435304866,0.867673190316571,7,"Non-significant"
"242820",10.6113838703117,0.955843857355388,0.985816235718342,4,"Non-significant"
"253130",30.9622343700738,0.0561440260167054,0.297445383134477,8,"Non-significant"
"CYP18",17.2171539326933,0.639731075222928,0.873915614268209,5,"Non-significant"
