"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","target","p_val_bh"
"259","TGME49-214310",0.0251933061092951,-0.0750450362877783,0.208,0.293,1,"MYR1",0.635863482766262
"260","TGME49-269438",0.0254234899665606,-0.0507407822370622,0.065,0.118,1,"MYR1",0.639205207351564
"261","TGME49-294705",0.0256008279159677,-0.0813329814636072,0.296,0.393,1,"MYR1",0.639629055360088
"262","TGME49-289610",0.025636042910256,-0.0765125188433655,0.18,0.258,1,"MYR1",0.639629055360088
"263","TGME49-243210",0.026238088415899,-0.0775311640749411,0.279,0.371,1,"MYR1",0.65135988098877
"264","TGME49-210255",0.0263054931285047,-0.0619758987818757,0.932,0.961,1,"MYR1",0.65135988098877
"265","TGME49-213710",0.0266271042894083,-0.0699313061994,0.239,0.328,1,"MYR1",0.656835399018347
"266","TGME49-319940",0.0269202788091092,-0.0486131831338855,0.062,0.114,1,"MYR1",0.661570911936643
"267","TGME49-248660",0.0271952486834502,0.092653494881875,0.375,0.297,1,"MYR1",0.663455150270015
"268","TGME49-228130",0.0273154714863088,-0.0857351814946641,0.285,0.376,1,"MYR1",0.663455150270015
"269","TGME49-294800",0.0273443707511656,-0.0266433379697366,1,0.996,1,"MYR1",0.663455150270015
"270","TGME49-291850",0.0274029203874719,0.0264227887027864,1,1,1,"MYR1",0.663455150270015
"271","TGME49-311000",0.0276866696060469,-0.0848233181598327,0.338,0.432,1,"MYR1",0.663733193654985
"272","TGME49-207830",0.0277952303999742,-0.080622823780199,0.223,0.301,1,"MYR1",0.663733193654985
"273","TGME49-294310",0.0278084466695914,-0.0748997228143325,0.287,0.38,1,"MYR1",0.663733193654985
"274","TGME49-214320",0.0279923441466194,-0.0804324630202098,0.856,0.904,1,"MYR1",0.663733193654985
"275","TGME49-203120",0.0281268229128675,-0.0697048124212079,0.189,0.266,1,"MYR1",0.663733193654985
"276","TGME49-254050",0.028198651475435,-0.0760440888531831,0.265,0.354,1,"MYR1",0.663733193654985
"277","TGME49-254540",0.0282880782629983,-0.0543858297467368,0.076,0.131,1,"MYR1",0.663733193654985
"278","TGME49-221850",0.0284820404305729,-0.0626514128982418,0.146,0.218,1,"MYR1",0.663733193654985
"279","TGME49-207910",0.0285172709961388,-0.0593512341429144,0.138,0.21,1,"MYR1",0.663733193654985
"280","TGME49-201380",0.0286178578747495,-0.125424724082765,0.479,0.576,1,"MYR1",0.663733193654985
"281","TGME49-213580",0.0286307560147676,0.0224848474085633,1,1,1,"MYR1",0.663733193654985
"282","TGME49-226310",0.0286328224890173,-0.0498062758623843,0.031,0.07,1,"MYR1",0.663733193654985
"283","TGME49-245428",0.0287924265956718,-0.0746858263621797,0.22,0.301,1,"MYR1",0.664204518506341
"284","TGME49-279320",0.0288563688627506,-0.0757191608137674,0.237,0.323,1,"MYR1",0.664204518506341
"285","TGME49-218400",0.0290902016654594,-0.0304494110267471,0.017,0.048,1,"MYR1",0.665132513357166
"286","TGME49-267840",0.0291001833899571,-0.0375719993048719,0.031,0.07,1,"MYR1",0.665132513357166
"287","TGME49-250770",0.0293353491129551,-0.0537137622504049,0.949,0.956,1,"MYR1",0.668171348959538
"288","TGME49-256000",0.0297828816908675,-0.0379924811763468,0.997,0.996,1,"MYR1",0.674533908829631
"289","TGME49-302050",0.0299207949279986,0.0801016167565181,0.715,0.651,1,"MYR1",0.674533908829631
"290","TGME49-240490",0.0301616737595871,-0.0347435743494998,0.025,0.061,1,"MYR1",0.674533908829631
"291","TGME49-232970",0.0302044096106539,-0.0522901262214282,0.073,0.127,1,"MYR1",0.674533908829631
"292","TGME49-257500",0.0302589329514262,-0.0333191072095481,0.023,0.057,1,"MYR1",0.674533908829631
"293","TGME49-268000",0.0302589329514262,-0.0333191072095481,0.023,0.057,1,"MYR1",0.674533908829631
"294","TGME49-268890",0.0303370000299696,-0.0897084604388179,0.546,0.664,1,"MYR1",0.674533908829631
"295","TGME49-221700",0.0306135810673982,0.0862516003653748,0.648,0.59,1,"MYR1",0.677958647522126
"296","TGME49-230940",0.0308091203747614,-0.0815864577296332,0.834,0.904,1,"MYR1",0.677958647522126
"297","TGME49-304450",0.0309113871445817,-0.0155705311832525,0,0.013,1,"MYR1",0.677958647522126
"298","TGME49-290980",0.0309709715186201,-0.0768386353697992,0.327,0.424,1,"MYR1",0.677958647522126
"299","TGME49-267430",0.031085853149595,0.0886975582978042,0.921,0.825,1,"MYR1",0.677958647522126
"300","TGME49-216390",0.0311132926811439,-0.074117235891424,0.18,0.253,1,"MYR1",0.677958647522126
"301","TGME49-240450",0.0315407784100942,-0.0959795213321668,0.592,0.664,1,"MYR1",0.681988607349512
"302","TGME49-202870",0.0318197590295815,-0.055627861599274,0.07,0.122,1,"MYR1",0.681988607349512
"303","TGME49-204340",0.0318710483177887,-0.0901946205569852,0.634,0.699,1,"MYR1",0.681988607349512
"304","TGME49-305770",0.0320495613645889,-0.0661971897125594,0.135,0.201,1,"MYR1",0.681988607349512
"305","TGME49-203020",0.0320539025855342,-0.0652217219820876,0.107,0.166,1,"MYR1",0.681988607349512
"306","TGME49-217220",0.032148129413309,-0.0682874102338772,0.231,0.319,1,"MYR1",0.681988607349512
"307","TGME49-310030",0.0322086561453836,-0.0753502912156849,0.228,0.319,1,"MYR1",0.681988607349512
"308","TGME49-294902",0.0322575864467381,-0.0639928598533523,0.096,0.153,1,"MYR1",0.681988607349512
"309","TGME49-218410",0.0323785363906171,-0.0203117022021142,1,1,1,"MYR1",0.681988607349512
"310","TGME49-210700",0.0324809031761944,-0.0515507611376947,0.09,0.148,1,"MYR1",0.681988607349512
"311","TGME49-213020",0.0325941944984471,-0.0479548565032338,0.051,0.096,1,"MYR1",0.681988607349512
"312","TGME49-306370",0.032672021904832,0.0879985603830252,0.166,0.105,1,"MYR1",0.681988607349512
"313","TGME49-215520",0.0327699705742698,-0.0880352404390064,0.361,0.463,1,"MYR1",0.681988607349512
"314","TGME49-224720",0.0329186510440399,-0.0675136482310267,0.169,0.24,1,"MYR1",0.681988607349512
"315","TGME49-314430",0.032991583534219,-0.10527548975758,0.555,0.624,1,"MYR1",0.681988607349512
"316","TGME49-220330",0.0330073427434141,-0.0920468170734791,0.454,0.546,1,"MYR1",0.681988607349512
"317","TGME49-239540",0.0331685546454165,-0.073096975863186,0.206,0.284,1,"MYR1",0.681988607349512
"318","TGME49-221400",0.0333550179746409,-0.100103867264629,0.493,0.555,1,"MYR1",0.681988607349512
"319","TGME49-330000",0.0335176385306399,0.0911934960027236,0.558,0.476,1,"MYR1",0.681988607349512
"320","TGME49-275650",0.0336277187482955,-0.108585196533455,0.6,0.646,1,"MYR1",0.681988607349512
"321","TGME49-263200",0.0337167985678273,0.031339425052019,0.045,0.013,1,"MYR1",0.681988607349512
"322","TGME49-265850",0.0337844236987962,0.0707059483905511,0.186,0.122,1,"MYR1",0.681988607349512
"323","TGME49-314042",0.0338469853596104,-0.0760656510340084,0.186,0.258,1,"MYR1",0.681988607349512
"324","TGME49-314418",0.0339400227748493,-0.0841678388047573,0.456,0.541,1,"MYR1",0.681988607349512
"325","TGME49-313360",0.0340191514686825,-0.0700311745278424,0.2,0.275,1,"MYR1",0.681988607349512
"326","TGME49-224490",0.0340472965118853,-0.0653078640178766,0.149,0.218,1,"MYR1",0.681988607349512
"327","TGME49-265780",0.0342766716079383,0.0615279896892082,0.152,0.092,1,"MYR1",0.681988607349512
"328","TGME49-277860",0.0342908047509317,-0.0431729084849456,0.051,0.096,1,"MYR1",0.681988607349512
"329","TGME49-275450",0.034693993900622,-0.0684755838530846,0.268,0.358,1,"MYR1",0.681988607349512
"330","TGME49-300608",0.0347000240424435,-0.0584463538885364,0.096,0.153,1,"MYR1",0.681988607349512
"331","TGME49-247050",0.0347125752844791,-0.0742700490047897,0.268,0.354,1,"MYR1",0.681988607349512
"332","TGME49-284160",0.034822352899609,-0.052793820275855,0.085,0.14,1,"MYR1",0.681988607349512
"333","TGME49-309730",0.0348281814597255,0.0562666043097146,0.966,0.952,1,"MYR1",0.681988607349512
"334","TGME49-274120",0.0348478779480966,-0.0628982289961959,0.107,0.166,1,"MYR1",0.681988607349512
"335","TGME49-211600",0.0349496991681332,-0.0572653248636022,0.085,0.14,1,"MYR1",0.681988607349512
"336","TGME49-267270",0.0351061305226997,-0.0650901449736062,0.192,0.271,1,"MYR1",0.683002307222881
