"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","target","p_val_bh"
"134","TGME49-255420",0.0121070656504519,-0.107619113785621,0.437,0.55,1,"MYR1",0.56806188735451
"135","TGME49-216660",0.0121216251013845,-0.0798973985271373,0.169,0.253,1,"MYR1",0.56806188735451
"136","TGME49-249730",0.0121992599487213,-0.0875423204938075,0.214,0.306,1,"MYR1",0.56806188735451
"137","TGME49-313020",0.0122373018868819,-0.0992953475147094,0.29,0.384,1,"MYR1",0.56806188735451
"138","TGME49-211330",0.0125211485886244,-0.0725263428723856,0.104,0.175,1,"MYR1",0.56806188735451
"139","TGME49-240080",0.0125227855016932,0.0791242868925291,0.2,0.122,1,"MYR1",0.56806188735451
"140","TGME49-249860",0.0126212959084266,-0.0997094042454755,0.324,0.419,1,"MYR1",0.56806188735451
"141","TGME49-201770",0.012710906979041,-0.0843119734110751,0.158,0.236,1,"MYR1",0.56806188735451
"142","TGME49-205370",0.0127261465867684,0.0584143048606069,0.087,0.035,1,"MYR1",0.56806188735451
"143","TGME49-313930",0.0128126194384189,-0.0774225775169886,0.141,0.223,1,"MYR1",0.56806188735451
"144","TGME49-223270",0.012854030022853,-0.0674798101639364,0.07,0.131,1,"MYR1",0.56806188735451
"145","TGME49-290260",0.012984956804826,-0.0568738001037345,0.051,0.105,1,"MYR1",0.56806188735451
"146","TGME49-267800",0.0129946873438536,-0.104978855072762,0.431,0.537,1,"MYR1",0.56806188735451
"147","TGME49-300613",0.0129999481298224,0.106312693612659,0.346,0.258,1,"MYR1",0.56806188735451
"148","TGME49-221980",0.0130920675138439,-0.0534695632169037,0.054,0.109,1,"MYR1",0.56806188735451
"149","TGME49-258090",0.0130920675138439,-0.0534695632169037,0.054,0.109,1,"MYR1",0.56806188735451
"150","TGME49-204045",0.0131228323059671,-0.0736213062921901,0.138,0.218,1,"MYR1",0.56806188735451
"151","TGME49-208510",0.0131457156916669,-0.0754253373736063,0.177,0.266,1,"MYR1",0.56806188735451
"152","TGME49-291980",0.0132087206482921,-0.0764868807889131,0.146,0.227,1,"MYR1",0.56806188735451
"153","TGME49-291310",0.0136909514524381,0.0810334296928763,0.876,0.838,1,"MYR1",0.584952612056128
"154","TGME49-205060",0.0138125301018491,-0.0806816672740253,0.155,0.236,1,"MYR1",0.585287528778723
"155","TGME49-211410",0.0138778594096225,-0.0864006640122005,0.234,0.328,1,"MYR1",0.585287528778723
"156","TGME49-273130",0.0142555936671674,0.13486428456742,0.555,0.432,1,"MYR1",0.586885130195145
"157","TGME49-263750",0.0143757883623368,0.0513101627863654,0.093,0.039,1,"MYR1",0.586885130195145
"158","TGME49-227610",0.0144382623072993,-0.0510186782222429,0.045,0.096,1,"MYR1",0.586885130195145
"159","TGME49-232610",0.0145483463529431,-0.0931682643692665,0.265,0.362,1,"MYR1",0.586885130195145
"160","TGME49-269770",0.0145759712628779,-0.0684053624125328,0.115,0.188,1,"MYR1",0.586885130195145
"161","TGME49-320070",0.0146109225072781,-0.0966889556087857,0.73,0.86,1,"MYR1",0.586885130195145
