target,gene.set,mean.score,mean.score.z,auc,p.value,p.value.bh
222100,PID_RHOA_REG_PATHWAY,0.72589645,-0.005823763,0.50858207,0.648878725,0.946786019
222100,PID_RHODOPSIN_PATHWAY,0.149075202,0.208121216,0.499893249,0.99548492,0.999900575
222100,PID_RXR_VDR_PATHWAY,0.420456866,0.459353853,0.520664907,0.27291234,0.830535528
222100,PID_S1P_META_PATHWAY,0.703546934,0.138745057,0.501696458,0.928286093,0.993173421
222100,PID_S1P_S1P1_PATHWAY,1.22650179,0.115002232,0.495783892,0.823004376,0.979872739
222100,PID_S1P_S1P2_PATHWAY,1.045665701,0.391881097,0.513030939,0.489341213,0.913769997
222100,PID_S1P_S1P3_PATHWAY,0.974644451,-0.893708736,0.469134519,0.101510151,0.672491417
222100,PID_S1P_S1P4_PATHWAY,0.756430225,-0.393833028,0.488531622,0.542885942,0.927247939
222100,PID_SHP2_PATHWAY,0.866119326,-0.111975661,0.497741174,0.904611424,0.991654281
222100,PID_SMAD2_3NUCLEAR_PATHWAY,0.889111054,1.818235779,0.564104977,0.000671125,0.04392268
222100,PID_SMAD2_3PATHWAY,1.067520339,1.09050378,0.53717607,0.048565445,0.546249787
222100,PID_SYNDECAN_1_PATHWAY,1.418230322,-2.900089016,0.3866728,1.83E-09,6.58E-07
222100,PID_SYNDECAN_2_PATHWAY,1.37482187,0.617558882,0.519232575,0.307544758,0.844381929
222100,PID_SYNDECAN_3_PATHWAY,0.76406117,0.458289218,0.5102545,0.586405763,0.93343502
222100,PID_SYNDECAN_4_PATHWAY,1.694614149,-2.791468299,0.392693217,1.25E-08,3.37E-06
222100,PID_TAP63_PATHWAY,0.807294331,1.745265017,0.571052952,0.000163418,0.013829502
222100,PID_TCPTP_PATHWAY,1.021488867,0.108804246,0.503317713,0.860279965,0.985207172
222100,PID_TCR_CALCIUM_PATHWAY,0.787548695,-0.449498538,0.479916903,0.286644207,0.834922629
222100,PID_TCR_JNK_PATHWAY,0.779222399,0.298638772,0.511566875,0.539426481,0.926023281
222100,PID_TCR_PATHWAY,0.723389732,0.103551658,0.501916746,0.919003616,0.992731724
222100,PID_TCR_RAS_PATHWAY,1.074660753,0.329395983,0.507326556,0.697491727,0.956756316
222100,PID_TELOMERASE_PATHWAY,1.120852037,1.805041403,0.566992935,0.000378939,0.028162075
222100,PID_TGFBR_PATHWAY,1.03911687,0.255879896,0.5129849,0.490877128,0.914353252
222100,PID_THROMBIN_PAR1_PATHWAY,0.982166462,0.925891659,0.527216327,0.14874778,0.741317923
222100,PID_THROMBIN_PAR4_PATHWAY,1.27890671,0.072520738,0.506522256,0.729315557,0.96335794
222100,PID_TNF_PATHWAY,0.949262071,2.302233199,0.573810865,9.00E-05,0.008304386
222100,PID_TOLL_ENDOGENOUS_PATHWAY,0.859992803,0.834444976,0.528652144,0.128474142,0.714044884
222100,PID_TRAIL_PATHWAY,0.422729171,1.251719268,0.54488359,0.017251061,0.365983049
222100,PID_TRKR_PATHWAY,0.951710707,0.772095076,0.528323638,0.132911901,0.721968897
222100,PID_TXA2PATHWAY,0.7647046,-0.699382977,0.473197653,0.155024859,0.746044992
222100,PID_UPA_UPAR_PATHWAY,1.251002559,0.132903002,0.504674476,0.804133321,0.976804439
222100,PID_VEGFR1_2_PATHWAY,1.141550955,-0.113244413,0.49015728,0.601527769,0.937177037
222100,PID_VEGFR1_PATHWAY,1.350277513,-0.540557564,0.482640517,0.357045339,0.871257005
222100,PID_VEGF_VEGFR_PATHWAY,0.828273957,0.382447576,0.510324383,0.583856996,0.933204142
222100,PID_WNT_CANONICAL_PATHWAY,0.655146129,1.909920921,0.562547735,0.000905052,0.055398526
222100,PID_WNT_NONCANONICAL_PATHWAY,0.812275957,0.441770732,0.516089478,0.393310522,0.885182676
222100,PID_WNT_SIGNALING_PATHWAY,0.668417616,0.200563551,0.504929064,0.793700264,0.975659718
225150,PID_A6B1_A6B4_INTEGRIN_PATHWAY,1.34772096,1.725670215,0.561362916,0.034819072,0.483940056
225150,PID_AJDISS_2PATHWAY,0.901242521,1.085583317,0.53602004,0.215406604,0.793695818
225150,PID_ALK1_PATHWAY,0.926786674,-0.37979222,0.487194563,0.659638888,0.949426218
225150,PID_ALK2_PATHWAY,1.072873721,-0.682132349,0.473633579,0.364503741,0.873460505
225150,PID_ALPHA_SYNUCLEIN_PATHWAY,0.986003895,-1.761478116,0.433932271,0.02307023,0.412460758
225150,PID_AMB2_NEUTROPHILS_PATHWAY,1.490086592,0.373050694,0.501261862,0.965389123,0.996710461
225150,PID_ANGIOPOIETIN_RECEPTOR_PATHWAY,1.184332482,-0.179680821,0.48950965,0.718257456,0.960647576
225150,PID_ANTHRAX_PATHWAY,0.683177138,0.030883018,0.503430293,0.906090587,0.9918927
225150,PID_AP1_PATHWAY,1.160575651,0.819928096,0.531481089,0.278929969,0.832624524
225150,PID_ARF6_DOWNSTREAM_PATHWAY,1.301720236,-0.099358338,0.496233618,0.896938106,0.990754386
225150,PID_ARF6_PATHWAY,0.397460652,0.204657566,0.503277525,0.910255006,0.992439556
225150,PID_ARF6_TRAFFICKING_PATHWAY,0.959487176,0.067957484,0.501308129,0.964120719,0.996710461
225150,PID_ARF_3PATHWAY,1.580241583,0.043942445,0.509835194,0.735170452,0.964680842
225150,PID_AR_NONGENOMIC_PATHWAY,0.886192904,0.76425366,0.525869707,0.373609193,0.875087363
225150,PID_AR_PATHWAY,1.162151962,-0.065285188,0.486763321,0.648934032,0.946786019
225150,PID_AR_TF_PATHWAY,0.989188035,0.844258343,0.532802749,0.259242956,0.823287766
225150,PID_ATF2_PATHWAY,0.931720062,1.27075385,0.544778875,0.123541115,0.709497763
225150,PID_ATM_PATHWAY,0.660959577,-0.264392212,0.478064283,0.450590562,0.903559336
225150,PID_ATR_PATHWAY,0.510441787,0.259631177,0.494694591,0.855220009,0.984435803
225150,PID_AURORA_A_PATHWAY,0.792935499,0.166258135,0.474321471,0.377150949,0.876546798
225150,PID_AURORA_B_PATHWAY,1.051401601,0.925779344,0.503735392,0.897781482,0.990957498
225150,PID_AVB3_INTEGRIN_PATHWAY,1.511669948,0.571537376,0.526266904,0.366316835,0.873932578
225150,PID_AVB3_OPN_PATHWAY,1.250415832,0.189315884,0.506545884,0.821881219,0.979586702
225150,PID_BARD1_PATHWAY,0.972670161,-0.043039894,0.483202084,0.563449331,0.930058964
225150,PID_BCR_5PATHWAY,0.761023849,0.780035162,0.512451453,0.668478484,0.952285947
225150,PID_BETA_CATENIN_DEG_PATHWAY,0.832598074,1.72034478,0.551668269,0.075563822,0.627123356
225150,PID_BETA_CATENIN_NUC_PATHWAY,1.013569741,0.926874921,0.546878778,0.10689641,0.683481545
225150,PID_BMP_PATHWAY,0.578934527,-0.291661645,0.492475529,0.795802876,0.976030766
225150,PID_CASPASE_PATHWAY,0.921252475,-0.039905426,0.5082822,0.775764114,0.971619636
225150,PID_CD40_PATHWAY,0.636897636,-0.70014269,0.463594985,0.210542349,0.789966113
225150,PID_CD8_TCR_DOWNSTREAM_PATHWAY,1.192100575,1.318107385,0.543750093,0.132402286,0.720976742
225150,PID_CD8_TCR_PATHWAY,0.900126275,0.180411966,0.492581157,0.798607357,0.976030766
225150,PID_CDC42_PATHWAY,1.070095751,0.53004541,0.518107791,0.533431455,0.924296421
225150,PID_CDC42_REG_PATHWAY,0.589416265,0.071915631,0.501987291,0.945513629,0.994830694
225150,PID_CERAMIDE_PATHWAY,0.807727448,-0.753224525,0.475561073,0.400614586,0.8876745
225150,PID_CIRCADIAN_PATHWAY,0.457783121,0.264059725,0.503192848,0.912564354,0.992439556
225150,PID_CMYB_PATHWAY,1.059200559,0.486532715,0.518701403,0.520099126,0.921222215
225150,PID_CONE_PATHWAY,-0.205093417,-0.270253921,0.520814401,0.474074558,0.909027401
225150,PID_CXCR3_PATHWAY,0.600347442,-0.463742044,0.480301677,0.498101578,0.915958704
225150,PID_CXCR4_PATHWAY,0.894797779,-0.699891489,0.469173194,0.289042997,0.836315401
225150,PID_DELTA_NP63_PATHWAY,0.96189915,-0.242173927,0.496956864,0.916649172,0.992567501
225150,PID_DNA_PK_PATHWAY,1.036152073,0.286695293,0.501956738,0.946350147,0.994830694
225150,PID_E2F_PATHWAY,0.648339635,0.621912772,0.528101427,0.33379954,0.85757243
225150,PID_ECADHERIN_KERATINOCYTE_PATHWAY,1.165912348,0.418544319,0.510332344,0.722324158,0.961791603
225150,PID_ECADHERIN_NASCENT_AJ_PATHWAY,1.317923219,-0.008344152,0.504043547,0.889400532,0.989740338
225150,PID_ECADHERIN_STABILIZATION_PATHWAY,1.317565173,0.243461297,0.513231878,0.649052822,0.946786019
225150,PID_ENDOTHELIN_PATHWAY,0.879842383,0.23919,0.503846258,0.894764876,0.990463028
