"target","gene","avg_log2FC","pct.1","pct.2","p_val","p_val_bh","Naor_2018_significant_genes_avg_log2FC"
"MYR1","SRSF7",-1.1784927781963,0.972,1,2.64687146191158e-61,8.94962004130137e-59,-1.32773891293229
"MYR1","KLHL23",-1.32371872015547,0.183,0.825,3.25244146432696e-61,1.08107846706637e-58,-4.2129937233342
"MYR1","TIPIN",-1.38593187599056,0.282,0.878,2.10741623590701e-60,6.88808996706206e-58,-2.83694171804595
"MYR1","COL1A1",0.950638920978411,1,1,2.49513925387951e-60,8.02166818161164e-58,NA
"MYR1","RAMP1",-1.61529460633301,0.944,0.996,1.68014581275557e-59,5.31046669310336e-57,-1.67343128858347
"MYR1","MT2A",-1.56890193747998,1,1,1.70597828599006e-59,5.31046669310336e-57,NA
"MYR1","HMGB1",-0.878853698677133,1,1,1.78291791834788e-59,5.46325051511254e-57,NA
"MYR1","ATP5MC1",-0.964776471228321,0.997,1,3.49233398635318e-59,1.05366402779034e-56,NA
"MYR1","DBI",-1.0373537820877,1,1,1.10796374934123e-58,3.29216319520165e-56,NA
"MYR1","MPG",1.10803913109076,0.997,0.869,1.16801858449486e-58,3.41880782992964e-56,NA
"MYR1","LDHB",-0.789396744891655,1,1,1.25977845958346e-58,3.63316402513106e-56,NA
"MYR1","UBE2T",-1.37491215052746,0.265,0.886,2.49636533252269e-58,7.0951044255221e-56,-2.15538045364737
"MYR1","LINC01588",-1.42388480448368,0.07,0.69,2.50404193264477e-57,7.01525233444237e-55,NA
"MYR1","TXNIP",1.63981529277689,0.8,0.1,2.7067572247864e-57,7.47636844158958e-55,1.49488045464159
"MYR1","NCL",-1.19810687889076,1,1,2.83854012698466e-57,7.73147367087447e-55,-1.12328358036526
"MYR1","CENPK",-1.28424236997741,0.124,0.764,5.40805399789758e-57,1.45284036921602e-54,NA
"MYR1","TNFAIP3",-1.40540251774918,0.113,0.738,1.44730224607558e-56,3.83554653348489e-54,NA
"MYR1","PCLAF",-2.1221937351742,0.127,0.764,8.99089691036866e-56,2.3509397241232e-53,NA
"MYR1","FHL1",1.68985736156551,0.975,0.716,2.5037630961111e-55,6.46069711550457e-53,NA
"MYR1","REL",-1.31306920606677,0.161,0.777,2.90426407431028e-55,7.39682113783104e-53,NA
"MYR1","GCLM",1.43906244353724,0.997,0.886,3.52059688361442e-55,8.85159301084132e-53,NA
"MYR1","ANP32B",-1.00804899361375,0.994,1,5.37029091322659e-55,1.33312373543401e-52,-1.25683643724747
"MYR1","RNF145",-1.1984987379573,0.814,0.983,1.83253378067104e-54,4.49222749659247e-52,NA
"MYR1","GSTP1",-0.557961616917003,1,1,7.41662357874358e-54,1.79564697534247e-51,NA
"MYR1","TUBA1C",-1.12346671984799,0.986,1,1.0861448744272e-53,2.59760818687706e-51,NA
"MYR1","TENM3",-1.82429256217877,0.811,0.969,1.1477007114633e-53,2.71175405451889e-51,NA
"MYR1","DAB2",1.29609708273158,0.966,0.598,1.37808081784371e-53,3.2173265379444e-51,NA
"MYR1","ACSL4",-1.51116513007297,0.552,0.939,1.74073248430981e-53,4.01617702938821e-51,NA
"MYR1","GLS",1.47924387232864,1,0.965,1.52971914581127e-52,3.48829327540754e-50,NA
"MYR1","SLC25A5",-0.860613798976683,1,1,1.97554366258663e-52,4.45314790425132e-50,-0.807172108304809
"MYR1","CENPV",-1.46458164743459,0.262,0.817,3.46599969585395e-52,7.72405909493088e-50,-2.42232017522254
"MYR1","YBX1",-0.620155292789684,1,1,6.18489270420857e-52,1.36283068339589e-49,NA
"MYR1","PDCD5",-0.738382934085716,1,1,1.32913855897591e-51,2.8961929200085e-49,NA
"MYR1","LRRFIP1",-1.17780861989616,0.918,1,1.39798308560295e-51,3.01273036173181e-49,NA
"MYR1","NRP2",-1.35537897947381,0.225,0.83,1.67305580474132e-51,3.56633667247632e-49,NA
"MYR1","SLBP",-1.32917904853696,0.746,0.978,3.69517056345237e-51,7.79204192686713e-49,-2.22839288264858
"MYR1","KRT18",2.63846927439316,0.992,0.751,4.5691982402187e-51,9.53261134988606e-49,NA
"MYR1","MAT2A",-1.21030244911927,0.51,0.939,4.86623628373925e-51,1.00454483958327e-48,-0.829394815197615
"MYR1","CIRBP",0.937106545900637,1,0.987,5.93341381830062e-51,1.21208519156972e-48,NA
"MYR1","ARL6IP5",1.25894043724448,0.966,0.664,8.01614352843699e-51,1.62066588387812e-48,NA
"MYR1","SLC9A9",-1.74710446871091,0.234,0.803,1.23522267975432e-50,2.47183183394511e-48,NA
"MYR1","PRKDC",-0.972804639476384,0.972,1,2.60206573686868e-50,5.15445567330622e-48,NA
