"target","gene","avg_log2FC","pct.1","pct.2","p_val","p_val_bh"
"GRA3","TGME49_220270",0.183242347183806,0.383,0.368,0.103330733386543,0.543540541453473
"GRA3","TGME49_222370",-0.0150766235931145,0.124,0.141,0.103379722455988,0.543540541453473
"GRA3","TGME49_313150",0.0288772220286681,0.212,0.194,0.10343966980298,0.543540541453473
"GRA3","TGME49_233450",-0.0315672323126122,0.115,0.13,0.103615910677498,0.544116713461334
"GRA3","TGME49_221170",0.0414711328497218,0.423,0.403,0.10374622843367,0.544451144850046
"GRA3","TGME49_262540",0.00903712396290232,0.024,0.018,0.103884242103077,0.544825508487958
"GRA3","TGME49_205350",0.0264658193871496,0.741,0.726,0.103960268043401,0.54487450300361
"GRA3","TGME49_210370",0.0684816140216478,0.387,0.367,0.104267922980084,0.546136665814275
"GRA3","TGME49_226520",0.0324395731583501,0.378,0.356,0.104373116650789,0.546337435075975
"GRA3","TGME49_268660",-0.00650156655729991,0.005,0.009,0.104703320708138,0.547473042939154
"GRA3","TGME49_201270",0.0341624858184263,0.241,0.222,0.10472406879377,0.547473042939154
"GRA3","TGME49_271935",-0.013267929703129,0.03,0.039,0.104864701193883,0.547731438671923
"GRA3","TGME49_239855",0.00991560944523196,0.046,0.037,0.104907563519956,0.547731438671923
"GRA3","TGME49_301480",-0.0200192611169488,0.043,0.054,0.105193571455467,0.548499302736356
"GRA3","TGME49_298050",0.0237188554462539,0.111,0.097,0.105198033290451,0.548499302736356
"GRA3","TGME49_269700",-0.0419782024427592,0.368,0.384,0.105256015994445,0.548499302736356
"GRA3","TGME49_310410",-0.0150156455026939,0.043,0.054,0.105415001980938,0.548977680807041
"GRA3","TGME49_282170",-0.0410850147669685,0.52,0.538,0.105541356100344,0.54928561827765
"GRA3","TGME49_201880",0.0281352730198243,0.989,0.985,0.105708679894505,0.549586477752239
"GRA3","TGME49_310170",-0.0349924535665566,0.276,0.296,0.105782182133359,0.549586477752239
"GRA3","TGME49_263080",0.0383528145914458,0.853,0.852,0.105800945967969,0.549586477752239
"GRA3","TGME49_216380",-0.0256548008048527,0.124,0.14,0.105903230570094,0.549735377179072
"GRA3","TGME49_305315",-0.00682156440243604,0.006,0.01,0.105964168285037,0.549735377179072
"GRA3","TGME49_311690",0.0452073851832143,0.247,0.227,0.106113464518654,0.550160608237259
"GRA3","TGME49_211015",-0.0103872067678778,0.024,0.033,0.106391304143904,0.551251329207255
"GRA3","TGME49_257120",-0.00920280125964259,0.013,0.02,0.106835010269831,0.552596093876199
"GRA3","TGME49_272350",-0.00920280125964259,0.013,0.02,0.106835010269831,0.552596093876199
"GRA3","TGME49_288880",0.0153652527026445,0.058,0.048,0.106898075682782,0.552596093876199
"GRA3","TGME49_218790",-0.0139874300199026,0.032,0.041,0.106921359003582,0.552596093876199
"GRA3","TGME49_225330",0.0243512506662601,0.196,0.177,0.10706765147811,0.553002389524425
"GRA3","TGME49_214740",0.0210444365989009,0.113,0.099,0.107434878020659,0.554548571261406
"GRA3","TGME49_222952",-0.011935602112863,0.027,0.036,0.107844606141032,0.556312043420687
"GRA3","TGME49_254340",-0.0111767499832181,0.02,0.027,0.107947127863612,0.55644383703943
"GRA3","TGME49_258110",-0.0198522311526214,0.146,0.164,0.108006354857978,0.55644383703943
"GRA3","TGME49_260240",0.023039140551296,0.625,0.594,0.10828645547653,0.557497016866237
"GRA3","TGME49_315680",-0.0208784910975681,0.107,0.122,0.108347235685177,0.557497016866237
"GRA3","TGME49_298000",-0.0123406751960676,0.022,0.03,0.10850989285069,0.557982589353673
"GRA3","TGME49_210300",-0.0238685106878318,0.169,0.188,0.108733462823788,0.55812109996609
"GRA3","TGME49_209970",-0.00818892642605451,0.118,0.136,0.1087388064734,0.55812109996609
"GRA3","TGME49_292220",0.0348848496637854,0.529,0.512,0.108749102877749,0.55812109996609
"GRA3","TGME49_249950",-0.035927957714621,0.161,0.177,0.108810049228489,0.55812109996609
"GRA3","TGME49_269340",0.095103876449135,0.31,0.291,0.108990590732022,0.558578270628397
"GRA3","TGME49_268182",0.0065014423171741,0.014,0.009,0.109060649066222,0.558578270628397
"GRA3","TGME49_238190",-0.0233778913654512,0.155,0.173,0.109140578091418,0.558578270628397
"GRA3","TGME49_202370",-0.0187751780533815,0.494,0.527,0.109226562449238,0.558578270628397
"GRA3","TGME49_278230",0.0210874071684695,0.215,0.195,0.109328674811052,0.558578270628397
"GRA3","TGME49_285268",-0.0124663775495025,0.025,0.034,0.109353951449556,0.558578270628397
"GRA3","TGME49_209600",0.10415161666933,0.824,0.829,0.109377705667046,0.558578270628397
"GRA3","TGME49_315170",-0.00638225667955345,0.005,0.009,0.109715590758445,0.559953836406781
"GRA3","TGME49_237140",-0.0302422849281789,0.094,0.108,0.109895360764248,0.56048612991621
"GRA3","TGME49_208570",-0.037042863573341,0.24,0.26,0.110004156565658,0.56048612991621
"GRA3","TGME49_315320",0.0390436023540406,0.873,0.878,0.110088833422621,0.56048612991621
"GRA3","TGME49_220490",-0.0397173633312726,0.214,0.232,0.110094264902156,0.56048612991621
"GRA3","TGME49_240247",-0.0110501170519363,0.033,0.042,0.110308226199005,0.561225726196804
"GRA3","TGME49_201870",-0.0285371261569087,0.144,0.16,0.110418009065144,0.56126527614025
"GRA3","TGME49_288720",0.040622660183657,1,0.999,0.110453379517014,0.56126527614025
"GRA3","TGME49_295105",0.213462313374605,0.66,0.665,0.11055474861178,0.561284644482036
"GRA3","TGME49_236950",-0.0403433993597484,0.99,0.993,0.110594575647543,0.561284644482036
"GRA3","TGME49_276230",-0.0109466421719781,0.017,0.024,0.110837141774834,0.561834474291832
"GRA3","TGME49_309790",-0.00863093459698278,0.011,0.017,0.110840432328777,0.561834474291832
"GRA3","TGME49_250340",0.0582045689787922,0.572,0.558,0.110976382277725,0.561953465833959
"GRA3","TGME49_244630",-0.0178704810589825,0.059,0.071,0.11103725560169,0.561953465833959
"GRA3","TGME49_208830",-0.0405155810006135,0.71,0.737,0.111131932936209,0.561953465833959
"GRA3","TGME49_313540",-0.0343686197461627,0.278,0.299,0.111205708190111,0.561953465833959
"GRA3","TGME49_263480",-0.00934044645460885,0.014,0.02,0.111207778026375,0.561953465833959
"GRA3","TGME49_254040",0.0155547883532738,0.106,0.092,0.111309086106199,0.562065310944935
"GRA3","TGME49_206300",0.0235925844304793,0.114,0.1,0.111416961302117,0.562065310944935
"GRA3","TGME49_202860",-0.0437702661159095,0.232,0.25,0.111436275086378,0.562065310944935
"GRA3","TGME49_271110",-0.0224596747465949,0.082,0.096,0.111616436757604,0.562626714834288
"GRA3","TGME49_275690",-0.0636808928340586,0.431,0.446,0.111747076795015,0.562785264288487
"GRA3","TGME49_262960",-0.0177066397260176,0.062,0.074,0.111838314047079,0.562785264288487
"GRA3","TGME49_311830",-0.0293673020161601,0.161,0.179,0.111854518321442,0.562785264288487
"GRA3","TGME49_308580",-0.033048444844573,0.17,0.187,0.11195366034505,0.562804849792971
"GRA3","TGME49_224575",0.00623549524093123,0.013,0.009,0.112019924533182,0.562804849792971
"GRA3","TGME49_277150",-0.0379141517207154,0.162,0.178,0.112117846065734,0.562804849792971
"GRA3","TGME49_226080",-0.0217968131389306,0.087,0.101,0.112178524512271,0.562804849792971
"GRA3","TGME49_285510",-0.0483017926781429,0.507,0.531,0.112202802632817,0.562804849792971
"GRA3","TGME49_266100",0.0391231566431415,0.508,0.491,0.112408506033865,0.563490737915775
"GRA3","TGME49_239770",0.121012930932361,0.315,0.301,0.112542220112311,0.563815132150638
"GRA3","TGME49_202980",-0.0302283090329767,0.237,0.259,0.112721354420703,0.563997011768893
"GRA3","TGME49_210840",-0.0446367249645588,0.407,0.425,0.112726752348847,0.563997011768893
"GRA3","TGME49_261670",0.0172853036802523,0.178,0.16,0.112824811254471,0.563997011768893
"GRA3","TGME49_264472",-0.0217484291220517,0.076,0.089,0.112854621740563,0.563997011768893
"GRA3","TGME49_286070",0.0139362891533894,0.075,0.064,0.112923787429698,0.563997718268985
"GRA3","TGME49_290920",-0.0308516474634262,0.221,0.242,0.11313168122411,0.564690877997678
"GRA3","TGME49_233000",-0.0255442941175982,0.093,0.107,0.113558613113817,0.566308320749925
"GRA3","TGME49_244150",0.023446123017001,0.261,0.24,0.113594338233891,0.566308320749925
"GRA3","TGME49_217610",-0.0469404398191821,0.207,0.225,0.114003525745576,0.567808734643189
"GRA3","TGME49_278490",-0.0259966246352164,0.167,0.185,0.114034283875838,0.567808734643189
"GRA3","TGME49_220510",-0.0311089315469959,0.148,0.165,0.114301275258591,0.568487740059299
"GRA3","TGME49_217720",-0.0106124893644333,0.018,0.025,0.114309797689075,0.568487740059299
"GRA3","TGME49_231910",-0.0331184805410889,0.514,0.537,0.114419971568122,0.568689530220877
"GRA3","TGME49_313230",-0.0370095004421758,0.626,0.647,0.114584789230854,0.569162500185595
"GRA3","TGME49_248900",0.0124339339803951,0.055,0.046,0.115194319384812,0.570502751876874
"GRA3","TGME49_238100",0.0635305690448456,0.644,0.641,0.115642266474854,0.570502751876874
"GRA3","TGME49_233735",-0.0133674772835061,0.033,0.042,0.11574863588544,0.570502751876874
"GRA3","TGME49_318880",0.000935429432206172,0.001,0,0.115863657154149,0.570502751876874
"GRA3","TGME49_267875",0.000935429432206172,0.001,0,0.115863657154149,0.570502751876874
"GRA3","TGME49_238960",0.000935429432206172,0.001,0,0.115863657154149,0.570502751876874
"GRA3","TGME49_271025",0.000935429432206172,0.001,0,0.115863657154149,0.570502751876874
"GRA3","TGME49_224760",0.000935429432206172,0.001,0,0.115863657154149,0.570502751876874
"GRA3","TGME49_311370",0.000935429432206172,0.001,0,0.115863657154149,0.570502751876874
"GRA3","TGME49_250860",0.000935429432206172,0.001,0,0.115863657154149,0.570502751876874
"GRA3","TGME49_278410",0.000935429432206172,0.001,0,0.115863657154149,0.570502751876874
"GRA3","TGME49_295430",0.000875225578800222,0.001,0,0.115882786387032,0.570502751876874
"GRA3","TGME49_200595",0.000875225578800222,0.001,0,0.115882786387032,0.570502751876874
"GRA3","TGME49_218910",0.00775210941465408,0.034,0.027,0.115896301091259,0.570502751876874
"GRA3","TGME49_244732",0.00057424399072491,0.001,0,0.115901917527305,0.570502751876874
"GRA3","TGME49_273905",-0.0127973500794286,0.035,0.045,0.116078831618558,0.57076101824076
"GRA3","TGME49_256880",-0.0178425425475443,0.07,0.083,0.116152938387626,0.57076101824076
"GRA3","TGME49_210960",0.0399183396928196,0.255,0.238,0.11616394239804,0.57076101824076
"GRA3","TGME49_298060",-0.03446460976537,0.171,0.188,0.116409924010482,0.571327122320254
"GRA3","TGME49_273420",0.00720442312636481,0.017,0.012,0.116588670552497,0.571327122320254
"GRA3","TGME49_258580",0.101656567490585,0.514,0.495,0.116611365803801,0.571327122320254
"GRA3","TGME49_294770",-0.0293807014148823,0.251,0.269,0.116701104748688,0.571327122320254
"GRA3","TGME49_288570",0.0147425573068198,0.321,0.295,0.116707058049086,0.571327122320254
"GRA3","TGME49_206350",-0.0360050027584226,0.381,0.401,0.116746632301918,0.571327122320254
"GRA3","TGME49_220175",-0.013720094628197,0.027,0.035,0.116768607792782,0.571327122320254
"GRA3","TGME49_292330",-0.0122378578839504,0.035,0.045,0.116922244903974,0.57165864219957
"GRA3","TGME49_278840",-0.00857175317800651,0.011,0.017,0.117085755877196,0.57165864219957
"GRA3","TGME49_270805",-0.00922242493614578,0.014,0.02,0.117112454928566,0.57165864219957
"GRA3","TGME49_265510",0.0428453457369108,0.457,0.437,0.117116211851925,0.57165864219957
"GRA3","TGME49_271750",0.0214528984604299,0.188,0.171,0.117186505207765,0.571660259135911
"GRA3","TGME49_251730",-0.0206988712031814,0.104,0.119,0.11730766209456,0.571909849030221
"GRA3","TGME49_267570",-0.00620327336056088,0.005,0.009,0.117661503220567,0.573277507166641
"GRA3","TGME49_226740",0.0222466805878851,0.269,0.246,0.117728510222203,0.573277507166641
"GRA3","TGME49_247025",0.0173150533283895,0.069,0.058,0.117806117946209,0.573313752077709
"GRA3","TGME49_299780",-0.0214888428497542,0.738,0.754,0.117921762048336,0.573534951010092
"GRA3","TGME49_314540",-0.0191108364726545,0.077,0.09,0.118192908415504,0.574195611198976
"GRA3","TGME49_299995",-0.0250089315461851,0.096,0.11,0.118282233717651,0.574195611198976
"GRA3","TGME49_235478",-0.0184989529451882,0.106,0.121,0.118333265833068,0.574195611198976
